SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
128,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
130,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
136,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
138,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
139,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
140,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
142,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
146,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
156,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
161,3,녹색등화,47,,,,,,,,,,,,,,,,,,,,,,,,,
161,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
161,3,적색등화,18,,,,,,,,,,,,,,,,,,,,,,,,,
162,3,녹색등화,47,,,,,,,,,,,,,,,,,,,,,,,,,
162,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
162,3,적색등화,18,,,,,,,,,,,,,,,,,,,,,,,,,
163,2,황색등화,48,,,,,,,,,,,,,,,,,,,,,,,,,
163,2,황색등화,11,,,,,,,,,,,,,,,,,,,,,,,,,
164,3,녹색등화,47,,,,,,,,,,,,,,,,,,,,,,,,,
164,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
164,3,적색등화,18,,,,,,,,,,,,,,,,,,,,,,,,,
165,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
166,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
167,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
168,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
170,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
171,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
174,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
176,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
177,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
178,2,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
179,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
180,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
182,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
183,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
184,4,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
185,2,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
186,2,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
187,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
188,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
189,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
190,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
192,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
195,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
196,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
197,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
198,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
199,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
200,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
201,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
202,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
204,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
206,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
207,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
208,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
209,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
210,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
211,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
212,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
215,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
216,2,녹색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
217,2,적색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
218,5,녹색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
219,5,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
220,5,적색/녹색화살표등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
221,5,적색/황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
222,5,적색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
223,3,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,녹색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
225,3,적색/녹색화살표등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
226,3,적색/황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
227,3,적색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
228,3,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
229,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
230,3,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
231,3,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
232,3,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
233,1,녹색/녹색화살표,0,,,,,,,,,,,,,,,,,,,,,,,,,
234,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
235,1,적색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
236,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
237,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
238,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
239,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
240,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
241,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
242,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
243,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
244,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
245,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
246,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
247,2,녹색등화,26,,,,,,,,,,,,,,,,,,,,,,,,,
247,2,적색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
248,5,녹색등화,10,,,,,,,,,,,,,,,,,,,,,,,,,
248,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
248,5,적색/녹색화살표등화,39,,,,,,,,,,,,,,,,,,,,,,,,,
248,5,적색/황색등화,26,,,,,,,,,,,,,,,,,,,,,,,,,
248,5,적색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
249,5,녹색등화,10,,,,,,,,,,,,,,,,,,,,,,,,,
249,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
249,5,적색/녹색화살표등화,39,,,,,,,,,,,,,,,,,,,,,,,,,
249,5,적색/황색등화,35,,,,,,,,,,,,,,,,,,,,,,,,,
249,5,적색등화,15,,,,,,,,,,,,,,,,,,,,,,,,,
250,2,녹색등화,35,,,,,,,,,,,,,,,,,,,,,,,,,
250,2,적색등화,15,,,,,,,,,,,,,,,,,,,,,,,,,
