City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,2,전라남도 곡성군 곡성읍 읍내리 846,121,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,2,전라남도 곡성군 곡성읍 읍내리 846,122,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,2,전라남도 곡성군 곡성읍 읍내리 846,123,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,2,전라남도 곡성군 곡성읍 읍내리 846,124,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,1,전라남도 곡성군 곡성읍 읍내리 846,125,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,기차마을로,1,전라남도 곡성군 오곡면 오지리 285-3,126,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,기차마을로,2,전라남도 곡성군 오곡면 오지리 1431,127,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1418-1,128,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1441-7,129,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1441-7,130,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 467-2,131,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 467-2,132,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1441-7,133,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1441-7,134,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1455,135,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1455,136,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1453,137,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1214,138,,,,,,,,,,,,,,,,,,,,,,
